STATION_NU,PROV_TERR_,LATITUDE,LONGITUDE,node_id,reach_id
06BB002,SK,55.961109161377000,-107.438888549805000,71185700140293,71185700143
06BC001,SK,56.091670989990100,-107.591667175292000,71185800020151,71185800021
06BB003,SK,55.923168182372900,-107.725723266602000,71185900050223,71185900053
06AG002,SK,54.930690765380900,-107.744056701660000,71187000070171,71187000071
06AG001,SK,54.819171905517500,-107.810562133789000,71187000080231,71187000081
06AF006,SK,54.650001525878800,-107.855560302734000,71188000010321,71188000011
06AF004,SK,54.412780761718800,-108.589172363280000,71188000110161,71188000111
06AF005,SK,54.445831298828000,-109.222503662109000,71188000140591,71188000141
06AF009,SK,54.440559387207000,-109.313888549805000,71188000150153,71188000153
06AF001,SK,54.566020965576200,-109.842430114745000,71188000210013,71188000213
06AF008,AB,54.686111450195200,-110.026390075684000,71188000240131,71188000241
05UF007,MB,56.397499084472600,-94.369438171386700,71211000160024,71211000164
05UF006,MB,56.380279541015500,-94.633888244628900,71211000180034,71211000184
05UF596,MB,56.337249755859400,-95.305160522460800,71211000250193,71211000253
05UF587,MB,56.307929992675800,-95.554710388183500,71211000280653,71211000283
05UF771,MB,56.303718566894500,-95.696876525878900,71211000290493,71211000293
05UF003,MB,56.243858337402300,-96.087287902832000,71211000320283,71211000323
05TG004,MB,56.086940765380900,-96.834999084472600,71212000030393,71212000033
05TG712,MB,55.944000244140500,-97.349998474121000,71212000090033,71212000093
05TG702,MB,55.754070281982400,-97.832763671875000,71212000130313,71212000133
05TG001,MB,55.742168426513700,-97.895668029785100,71212000140231,71212000141
